A,B,Weight
Ferdinand_de_Saussure ,Jacques_Lacan ,1
Georg_Wilhelm_Friedrich_Hegel ,Jacques_Lacan ,1
Mufti_Muhammad_Shafi ,Mufti ,1
Terence_McKenna ,Robert_Anton_Wilson ,1
Aristotle ,Alexander_the_Great ,1
Emerich_de_Vattel ,Benjamin_Franklin ,1
Pierre-Joseph_Proudhon ,Benjamin_Tucker ,1
Josiah_Warren ,Benjamin_Tucker ,1
Max_Stirner ,Benjamin_Tucker ,1
Mary_Baker_Eddy ,Christianity ,1
George_Boole ,Claude_Shannon ,1
Joseph_de_Maistre ,Charles_Baudelaire ,1
Emanuel_Swedenborg ,Charles_Baudelaire ,1
Boethius ,Dante_Alighieri ,1
Otto_Weininger ,Elias_Canetti ,1
Giovanni_Pico_della_Mirandola ,Desiderius_Erasmus ,1
John_Colet ,Desiderius_Erasmus ,1
Georg_Wilhelm_Friedrich_Hegel ,Friedrich_Nietzsche ,1
Plato ,Friedrich_Nietzsche ,1
African_Spir ,Friedrich_Nietzsche ,1
Jean-Jacques_Rousseau ,Friedrich_Nietzsche ,1
Michel_de_Montaigne ,Friedrich_Nietzsche ,1
Arthur_Schopenhauer ,Friedrich_Nietzsche ,1
Empedocles ,Friedrich_Nietzsche ,1
Heraclitus ,Friedrich_Nietzsche ,1
Parmenides ,Friedrich_Nietzsche ,1
Protagoras ,Friedrich_Nietzsche ,1
Friedrich_Albert_Lange ,Friedrich_Nietzsche ,1
Baruch_Spinoza ,Friedrich_Nietzsche ,1
Epicurus ,Friedrich_Nietzsche ,1
Gottfried_Leibniz ,Friedrich_Nietzsche ,1
Immanuel_Kant ,Friedrich_Nietzsche ,1
Niccol%C3%B2_Machiavelli ,Friedrich_Nietzsche ,1
Max_Stirner ,Friedrich_Nietzsche ,1
George_Gurdjieff ,Frank_Lloyd_Wright ,1
Ahmad_Sirhindi ,Fiqh ,1
Shah_Waliullah ,Fiqh ,1
Abdulhakim_Arvasi ,Fiqh ,1
Georg_Wilhelm_Friedrich_Hegel ,Francis_Fukuyama ,1
Leo_Strauss ,Francis_Fukuyama ,1
Allan_Bloom ,Francis_Fukuyama ,1
Joseph_de_Maistre ,Francisco_Franco ,1
John_Locke ,George_Berkeley ,1
Nicolas_Malebranche ,George_Berkeley ,1
Friedrich_Wilhelm_Joseph_Schelling ,Georg_Wilhelm_Friedrich_Hegel ,1
Johannes_Scotus_Eriugena ,Georg_Wilhelm_Friedrich_Hegel ,1
Johann_Gottlieb_Fichte ,Georg_Wilhelm_Friedrich_Hegel ,1
Jean-Jacques_Rousseau ,Georg_Wilhelm_Friedrich_Hegel ,1
Nicholas_of_Cusa ,Georg_Wilhelm_Friedrich_Hegel ,1
Heraclitus ,Georg_Wilhelm_Friedrich_Hegel ,1
Friedrich_Heinrich_Jacobi ,Georg_Wilhelm_Friedrich_Hegel ,1
Johann_Gottfried_Herder ,Georg_Wilhelm_Friedrich_Hegel ,1
Jakob_B%C3%B6hme ,Georg_Wilhelm_Friedrich_Hegel ,1
Baruch_Spinoza ,Georg_Wilhelm_Friedrich_Hegel ,1
Immanuel_Kant ,Georg_Wilhelm_Friedrich_Hegel ,1
Montesquieu ,Georg_Wilhelm_Friedrich_Hegel ,1
Sextus_Empiricus ,Georg_Wilhelm_Friedrich_Hegel ,1
Anselm_of_Canterbury____1 ,Georg_Wilhelm_Friedrich_Hegel ,1
Rousas_John_Rushdoony ,Gary_North_%28Christian_Reconstructionist%29 ,1
Nicholas_of_Cusa ,Giordano_Bruno ,1
Johannes_Scotus_Eriugena ,Hildegard_of_Bingen ,1
Nicholas_of_Cusa ,Johannes_Kepler ,1
Pythagoras ,Johannes_Kepler ,1
George_Berkeley ,Jorge_Luis_Borges ,1
Arthur_Schopenhauer ,Jorge_Luis_Borges ,1
S%C3%B8ren_Kierkegaard ,Jorge_Luis_Borges ,1
Friedrich_Nietzsche ,Jean-Paul_Sartre ,1
Georg_Wilhelm_Friedrich_Hegel ,Jean-Paul_Sartre ,1
Albert_Camus ,Jean-Paul_Sartre ,1
Edmund_Husserl ,Jean-Paul_Sartre ,1
Alexander_Herzen ,Jean-Paul_Sartre ,1
Arthur_Schopenhauer ,Jean-Paul_Sartre ,1
Karl_Marx ,Jean-Paul_Sartre ,1
S%C3%B8ren_Kierkegaard ,Jean-Paul_Sartre ,1
Immanuel_Kant ,Jean-Paul_Sartre ,1
Friedrich_Engels ,Jean-Paul_Sartre ,1
Simone_de_Beauvoir ,Jean-Paul_Sartre ,1
Karl_Jaspers ,Jean-Paul_Sartre ,1
Posidonius ,Livy ,1
Karl_Jaspers ,Lacan ,1
Georg_Wilhelm_Friedrich_Hegel ,Max_Horkheimer ,1
Arthur_Schopenhauer ,Max_Horkheimer ,1
Proclus ,Marsilio_Ficino ,1
Epictetus ,Marcus_Aurelius ,1
Zeno_of_Citium ,Marcus_Aurelius ,1
Zeno_of_Elea ,Plato ,1
Heraclitus ,Plato ,1
Pythagoras ,Plato ,1
Parmenides ,Plato ,1
Protagoras ,Plato ,1
Socrates ,Plato ,1
Simone_Weil ,Pope_Paul_VI ,1
Albert_Camus ,Paul_Auster ,1
S%C3%B8ren_Kierkegaard ,Rainer_Maria_Rilke ,1
George_Berkeley ,Thomas_Reid ,1
Joseph_Butler____1 ,Thomas_Reid ,1
