A,B,Weight
Abd_Allah_ibn_Abbas,Ata_ibn_Abi_Rabah,1
Abd_Allah_ibn_Abbas,Atiyya_ibn_Sa'd,1
Abd_Allah_ibn_Abbas,Tawus_ibn_Kaysan,1
Abd_Allah_ibn_Abbas,Wahb_ibn_Munabbih,1
A._D._Gordon,Berl_Katznelson,1
A._D._Gordon,Eliezer_Schweid,1
A._D._Gordon,Martin_Buber,1
A._D._Gordon,Rachel_Bluwstein,1
A._J._Ayer,Mihailo_Markovic,1
A._J._Ayer,P._F._Strawson,1
A._J._Ayer,R._M._Hare,1
A._J._Ayer,Ted_Honderich,1
Abbie_Hoffman,Bob_Black,1
Abd_al-Aziz_ibn_Abd_Allah_ibn_Baaz,Muqbil_bin_Haadi_al-Waadi'ee,1
Abdul_Ghaffar_Naqshbandi,Allah_Bakhsh,1
Abdul_Ghaffar_Naqshbandi,Muhammad_Tahir,1
Abdulhakim_Arvasi,Fiqh,1
Abdulhakim_Arvasi,Hüseyin_Hilmi_Isik,1
Abdulhakim_Arvasi,Islamic_philosophy,1
Abdulhakim_Arvasi,Necip_Fazil_Kisakürek,1
Abdul-Qadir_Gilani,Akhtar_Raza_Khan,1
Abdul-Qadir_Gilani,Allama_Muhammad_Idrees_Dahiri,1
Abdul-Qadir_Gilani,Hamid_Raza_Khan,1
Abdul-Qadir_Gilani,Ibn_Qudamah,1
Abdul-Qadir_Gilani,Qamaruzzaman_Azmi,1
Abdul-Qadir_Gilani,Said_Nursî,1
Abdul-Qadir_Gilani,Tahir_Allauddin,1
Abdul-Qadir_Gilani,Tahir-ul-Qadri,1
Abdul-Qadir_Gilani,Turab-ul-Haq_Qadri,1
Abraham_Kuyper,Albert_M._Wolters,1
Abraham_Kuyper,Cornelius_Van_Til,1
Abraham_Kuyper,Craig_Bartholomew,1
Abraham_Kuyper,David_Koyzis,1
Abraham_Kuyper,Richard_Mouw,1
Abraham_Samuel_Goldstein,Dan_Kahan,1
Abu_?anifa,Abdul_Ghaffar_Naqshbandi,1
Abu_?anifa,Abu_Yusuf,1
Abu_?anifa,Ahmad_ibn_Muhammad_al-Tahawi,1
